HDI Rank (2021),Countries,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank (2020),HDI Category,Education Index,alpha-3,region,sub-region,Lat,Lon
56,Kazakhstan,0.811,69.3622,15.76500034,12.34756189,23942.81837,1,59,1,0.8495020724444444,KAZ,Asia,Central Asia,48,68
57,Trinidad and Tobago,0.81,72.9709,14.53545292,11.61062419,23392.02084,1,56,1,0.7907833874444444,TTO,Americas,Latin America and the Caribbean,11,-61
58,Costa Rica,0.809,77.0232,16.54577065,8.804059982,19974.27358,8,57,1,0.7530734063444444,CRI,Americas,Latin America and the Caribbean,10,-84
58,Uruguay,0.809,75.4356,16.83259964,8.982549667,21268.88122,5,55,1,0.7669905344555557,URY,Americas,Latin America and the Caribbean,-33,-56
60,Belarus,0.808,72.438,15.16996956,12.14358044,18848.96704,8,60,1,0.826174058,BLR,Europe,Eastern Europe,53,28
61,Panama,0.805,76.2233,13.05787868,10.54059029,26956.83707,-8,67,1,0.7140718618888889,PAN,Americas,Latin America and the Caribbean,9,-80
62,Malaysia,0.803,74.8839,13.34304047,10.64505959,26657.94355,-8,61,1,0.7254753327222223,MYS,Asia,South-eastern Asia,2.5,112.5
63,Georgia,0.802,71.694,15.56851959,12.82221985,14664.16825,17,64,1,0.8598662058333333,GEO,Asia,Western Asia,42,43.5
63,Mauritius,0.802,73.5552,15.17352977,10.42791048,22025.34631,-1,62,1,0.7690839540555555,MUS,Africa,Sub-Saharan Africa,-20.2833,57.55
63,Serbia,0.802,74.1923,14.40009022,11.36987019,19123.02747,4,62,1,0.7789981791111111,SRB,Europe,Southern Europe,44,21
66,Thailand,0.8,78.7154,15.88221913,8.697119713,17030.15352,6,64,1,0.7310767440444443,THA,Asia,South-eastern Asia,15,100
67,Albania,0.796,76.4626,14.44799995,11.28645502,14131.11039,17,68,2,0.7775484992777777,ALB,Europe,Southern Europe,41,20
68,Bulgaria,0.795,71.798,13.89729023,11.41318035,23078.95595,-8,64,2,0.7664751847222222,BGR,Europe,Eastern Europe,43,25
68,Grenada,0.795,74.9362,18.66202035,9.032104,13483.5774,18,70,2,0.8194595874999999,GRD,Americas,Latin America and the Caribbean,12.1167,-61.6667
70,Barbados,0.79,77.5714,15.71338458,9.852700596,12306.341,26,71,2,0.7649062581999999,BRB,Americas,Latin America and the Caribbean,13.1667,-59.5333
71,Antigua and Barbuda,0.788,78.4968,14.18462641,9.293740746,16792.36595,2,71,2,0.7038087584777777,ATG,Americas,Latin America and the Caribbean,17.05,-61.8
